country,iso3c,year,prevalence,iso2c,gdp_percap,population,birth_rate,neonat_mortal_rate,region,income
Albania,ALB,1992,61485.594469999996,AL,1921.16342,3247039,23.464,13,Europe & Central Asia,Upper middle income
Albania,ALB,1993,62076.52634,AL,2168.886231,3227287,22.686,12.9,Europe & Central Asia,Upper middle income
Albania,ALB,1994,62697.66304,AL,2413.663204,3207536,21.854,12.9,Europe & Central Asia,Upper middle income
Albania,ALB,1995,63248.43245,AL,2809.014908,3187784,20.98,12.7,Europe & Central Asia,Upper middle income
Albania,ALB,1996,63747.83124,AL,3140.036986,3168033,20.075,12.5,Europe & Central Asia,Upper middle income
Albania,ALB,1997,64410.35581,AL,2865.50751,3148281,19.15,12.3,Europe & Central Asia,Upper middle income
Albania,ALB,1998,68923.68122,AL,3177.490786,3128530,18.22,11.9,Europe & Central Asia,Upper middle income
Albania,ALB,1999,69165.42789,AL,3684.945153,3108778,17.302,11.7,Europe & Central Asia,Upper middle income
Albania,ALB,2000,65372.9729,AL,4045.752069,3089027,16.401,11.3,Europe & Central Asia,Upper middle income
Albania,ALB,2001,65717.52983,AL,4508.632006,3060173,15.513,11,Europe & Central Asia,Upper middle income
Albania,ALB,2002,66048.44707,AL,4785.880981,3051010,14.642,10.7,Europe & Central Asia,Upper middle income
Albania,ALB,2003,66488.55379,AL,5182.490367,3039616,13.806,10.3,Europe & Central Asia,Upper middle income
Albania,ALB,2004,66892.07658,AL,5652.602673,3026939,13.036,9.8,Europe & Central Asia,Upper middle income
Albania,ALB,2005,67166.62526,AL,6199.912727,3011487,12.383,9.4,Europe & Central Asia,Upper middle income
Albania,ALB,2006,67414.80122,AL,7066.725645,2992547,11.906,8.9,Europe & Central Asia,Upper middle income
Albania,ALB,2007,67549.71698,AL,7658.408578,2970017,11.631,8.5,Europe & Central Asia,Upper middle income
Albania,ALB,2008,67673.14521,AL,8769.094336,2947314,11.561,8.2,Europe & Central Asia,Upper middle income
Albania,ALB,2009,67882.48531,AL,9342.081246,2927519,11.679,7.9,Europe & Central Asia,Upper middle income
Albania,ALB,2010,68118.44327,AL,9303.932476,2913021,11.952,7.5,Europe & Central Asia,Upper middle income
Albania,ALB,2011,68389.85905,AL,9640.144593,2904780,12.325,7.2,Europe & Central Asia,Upper middle income
Albania,ALB,2012,68619.34044,AL,10361.43322,2900247,12.73,7,Europe & Central Asia,Upper middle income
Albania,ALB,2013,68932.06431,AL,10412.44172,2896652,13.106,6.8,Europe & Central Asia,Upper middle income
Albania,ALB,2014,68970.47343,AL,11167.02257,2893654,13.414,6.5,Europe & Central Asia,Upper middle income
Albania,ALB,2015,69074.14254,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,2016,69475.52773,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,2017,69686.9754,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,1990,717110.8783,DZ,6617.728829,25912364,32.132,22.4,Middle East & North Africa,Upper middle income
Algeria,DZA,1991,739787.2677,DZ,6592.629108,26554277,30.778,22.1,Middle East & North Africa,Upper middle income
Algeria,DZA,1992,763249.0452,DZ,6706.030981,27180921,29.351,22,Middle East & North Africa,Upper middle income
Algeria,DZA,1993,787085.9284,DZ,6575.045049,27785977,27.87,21.8,Middle East & North Africa,Upper middle income
Algeria,DZA,1994,811786.9335,DZ,6519.381324,28362015,26.371,21.7,Middle East & North Africa,Upper middle income
Algeria,DZA,1995,837235.6382,DZ,6778.64911,28904300,24.895,21.5,Middle East & North Africa,Upper middle income
Algeria,DZA,1996,863292.8589,DZ,7061.401933,29411839,23.488,21.3,Middle East & North Africa,Upper middle income
Algeria,DZA,1997,889529.2009,DZ,7145.647689,29887717,22.202,21.1,Middle East & North Africa,Upper middle income
Algeria,DZA,1998,916087.3711,DZ,7479.17983,30336880,21.087,21,Middle East & North Africa,Upper middle income
Algeria,DZA,1999,942417.5085,DZ,7727.189137,30766551,20.19,21,Middle East & North Africa,Upper middle income
Algeria,DZA,2000,969303.0228,DZ,8093.611355,31183658,19.57,21,Middle East & North Africa,Upper middle income
Algeria,DZA,2001,995887.3453,DZ,8416.638163,31590320,19.275,20.9,Middle East & North Africa,Upper middle income
Algeria,DZA,2002,1022930.371,DZ,8911.553372,31990387,19.293,20.7,Middle East & North Africa,Upper middle income
Algeria,DZA,2003,1049312.51,DZ,9622.016552,32394886,19.586,20.4,Middle East & North Africa,Upper middle income
Algeria,DZA,2004,1075466.899,DZ,10179.01282,32817225,20.113,20,Middle East & North Africa,Upper middle income
Algeria,DZA,2005,1101427.204,DZ,10975.69869,33267887,20.823,19.5,Middle East & North Africa,Upper middle income
Algeria,DZA,2006,1125868.907,DZ,11341.09644,33749328,21.659,18.8,Middle East & North Africa,Upper middle income
Algeria,DZA,2007,1148367.968,DZ,11858.65084,34261971,22.541,18.2,Middle East & North Africa,Upper middle income
Algeria,DZA,2008,1169428.052,DZ,12186.16464,34811059,23.382,17.5,Middle East & North Africa,Upper middle income
Algeria,DZA,2009,1191593.944,DZ,12267.0034,35401790,24.11,17,Middle East & North Africa,Upper middle income
Algeria,DZA,2010,1215319.515,DZ,12637.38134,36036159,24.643,16.5,Middle East & North Africa,Upper middle income
Algeria,DZA,2011,1241082.261,DZ,13026.19166,36717132,24.921,16.2,Middle East & North Africa,Upper middle income
Algeria,DZA,2012,1266397.155,DZ,13452.55261,37439427,24.946,15.9,Middle East & North Africa,Upper middle income
Algeria,DZA,2013,1292987.417,DZ,13779.82274,38186135,24.738,15.7,Middle East & North Africa,Upper middle income
Algeria,DZA,2014,1319984.586,DZ,14259.02894,38934334,24.309,15.6,Middle East & North Africa,Upper middle income
Algeria,DZA,2015,1347114.38,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,2016,1375798.554,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,2017,1405671.099,NA,NA,NA,NA,NA,NA,NA
American Samoa,ASM,1990,1085.210808,AS,NA,47044,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1991,1122.546733,AS,NA,48379,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1992,1157.143815,AS,NA,49597,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1993,1190.444117,AS,NA,50725,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1994,1220.527244,AS,NA,51807,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1995,1247.873624,AS,NA,52874,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1996,1273.277929,AS,NA,53926,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1997,1295.895371,AS,NA,54942,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1998,1315.379505,AS,NA,55899,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,1999,1333.217023,AS,NA,56768,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2000,1346.425539,AS,NA,57522,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2001,1358.041661,AS,NA,58176,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2002,1365.534581,AS,NA,58729,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2003,1370.701521,AS,NA,59117,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2004,1375.181324,AS,NA,59262,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2005,1378.813314,AS,NA,59117,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2006,1383.188271,AS,NA,58648,21.6,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2007,1386.94916,AS,NA,57904,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2008,1391.053957,AS,NA,57031,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2009,1396.133828,AS,NA,56226,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2010,1402.059422,AS,NA,55636,18.7,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2011,1410.732471,AS,NA,55316,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2012,1420.403178,AS,NA,55227,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2013,1431.934307,AS,NA,55302,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2014,1443.742554,AS,NA,55434,NA,NA,East Asia & Pacific,Upper middle income
American Samoa,ASM,2015,1455.982689,NA,NA,NA,NA,NA,NA,NA
American Samoa,ASM,2016,1469.432166,NA,NA,NA,NA,NA,NA,NA
American Samoa,ASM,2017,1483.683599,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1990,798341.6436,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1991,823353.302,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1992,848018.265,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1993,872335.2508,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1994,896512.6656,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1995,921007.0713,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1996,944797.028,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1997,966954.5,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1998,989197.6038,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,1999,1011358.926,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2000,1034505.739,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2001,1059000.333,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2002,1083738.422,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2003,1108454.03,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2004,1133029.779,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2005,1157777.845,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2006,1181776.164,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2007,1205206.395,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2008,1228421.6,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2009,1252807.195,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2010,1278739.219,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2011,1307082.836,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2012,1337072.243,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2013,1370141.069,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2014,1402509.334,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2015,1434280.112,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2016,1464576.863,NA,NA,NA,NA,NA,NA,NA
Andean Latin America,NA,2017,1497247,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,1990,2162.105162,AD,NA,54511,11.9,4.3,Europe & Central Asia,High income
Andorra,AND,1991,2347.588407,AD,NA,56674,11.9,4,Europe & Central Asia,High income
Andorra,AND,1992,2469.370559,AD,NA,58904,12.1,3.7,Europe & Central Asia,High income
Andorra,AND,1993,2615.480619,AD,NA,61003,11.4,3.4,Europe & Central Asia,High income
Andorra,AND,1994,2605.205268,AD,NA,62707,10.9,3.2,Europe & Central Asia,High income
Andorra,AND,1995,2594.993067,AD,NA,63854,11,3,Europe & Central Asia,High income
Andorra,AND,1996,2623.888057,AD,NA,64291,10.9,2.8,Europe & Central Asia,High income
Andorra,AND,1997,2659.375672,AD,NA,64147,11.2,2.6,Europe & Central Asia,High income
Andorra,AND,1998,2685.95901,AD,NA,63888,11.9,2.4,Europe & Central Asia,High income
Andorra,AND,1999,2690.015059,AD,NA,64161,12.6,2.3,Europe & Central Asia,High income
Andorra,AND,2000,2688.423907,AD,NA,65399,11.3,2.2,Europe & Central Asia,High income
Andorra,AND,2001,2712.859705,AD,NA,67770,11.8,2.1,Europe & Central Asia,High income
Andorra,AND,2002,2759.379619,AD,NA,71046,11.2,2.1,Europe & Central Asia,High income
Andorra,AND,2003,2958.532941,AD,NA,74783,10.3,2,Europe & Central Asia,High income
Andorra,AND,2004,3136.38889,AD,NA,78337,10.9,2,Europe & Central Asia,High income
Andorra,AND,2005,3204.847214,AD,NA,81223,10.7,1.9,Europe & Central Asia,High income
Andorra,AND,2006,3307.969671,AD,NA,83373,10.6,1.9,Europe & Central Asia,High income
Andorra,AND,2007,3391.091197,AD,NA,84878,10.1,1.8,Europe & Central Asia,High income
Andorra,AND,2008,3449.411747,AD,NA,85616,10.4,1.8,Europe & Central Asia,High income
Andorra,AND,2009,3447.89433,AD,NA,85474,9.9,1.7,Europe & Central Asia,High income
Andorra,AND,2010,3462.341628,AD,NA,84419,9.8,1.7,Europe & Central Asia,High income
Andorra,AND,2011,3207.838765,AD,NA,82326,NA,1.6,Europe & Central Asia,High income
Andorra,AND,2012,3123.856793,AD,NA,79316,9.5,1.6,Europe & Central Asia,High income
Andorra,AND,2013,3124.093616,AD,NA,75902,NA,1.5,Europe & Central Asia,High income
Andorra,AND,2014,3168.900989,AD,NA,72786,NA,1.5,Europe & Central Asia,High income
Andorra,AND,2015,3216.876423,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,2016,3245.706055,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,2017,3339.035576,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1990,312099.1917,AO,3106.554625,11127870,52.688,59.1,Sub-Saharan Africa,Lower middle income
Angola,AGO,1991,323462.4699,AO,3076.256008,11472173,52.585,59.2,Sub-Saharan Africa,Lower middle income
Angola,AGO,1992,335401.49,AO,2836.129244,11848971,52.475,59.4,Sub-Saharan Africa,Lower middle income
Angola,AGO,1993,347567.6297,AO,2115.395101,12246786,52.357,59.4,Sub-Saharan Africa,Lower middle income
Angola,AGO,1994,360015.0056,AO,2165.01507,12648483,52.227,59.3,Sub-Saharan Africa,Lower middle income
Angola,AGO,1995,372957.701,AO,2366.284056,13042666,52.081,59.4,Sub-Saharan Africa,Lower middle income
Angola,AGO,1996,386332.0167,AO,2603.0743430000002,13424813,51.914,59.5,Sub-Saharan Africa,Lower middle income
Angola,AGO,1997,399777.7742,AO,2778.743543,13801868,51.723,59.4,Sub-Saharan Africa,Lower middle income
Angola,AGO,1998,413757.2717,AO,2918.451406,14187710,51.508,58.9,Sub-Saharan Africa,Lower middle income
Angola,AGO,1999,427803.6197,AO,2972.321938,14601983,51.268,58.7,Sub-Saharan Africa,Lower middle income
Angola,AGO,2000,443361.407,AO,3036.559728,15058638,51.009,58.4,Sub-Saharan Africa,Lower middle income
Angola,AGO,2001,459683.353,AO,3131.995858,15562791,50.739,58.2,Sub-Saharan Africa,Lower middle income
Angola,AGO,2002,476464.0074,AO,2858.897069,16109696,50.463,57.5,Sub-Saharan Africa,Lower middle income
Angola,AGO,2003,494258.5543,AO,2961.964572,16691395,50.182,57.2,Sub-Saharan Africa,Lower middle income
Angola,AGO,2004,512434.7824,AO,3256.653754,17295500,49.895,56.7,Sub-Saharan Africa,Lower middle income
Angola,AGO,2005,531669.3304,AO,3838.264572,17912942,49.592,56.1,Sub-Saharan Africa,Lower middle income
Angola,AGO,2006,551630.0989,AO,4614.590809,18541467,49.259,55.5,Sub-Saharan Africa,Lower middle income
Angola,AGO,2007,571708.7156,AO,5613.232196,19183907,48.888,55,Sub-Saharan Africa,Lower middle income
Angola,AGO,2008,592606.7653,AO,6298.01244,19842251,48.473,54.1,Sub-Saharan Africa,Lower middle income
Angola,AGO,2009,613960.3715,AO,6284.274905,20520103,48.018,53.4,Sub-Saharan Africa,Lower middle income
Angola,AGO,2010,637274.713,AO,6360.84898,21219954,47.529,52.6,Sub-Saharan Africa,Lower middle income
Angola,AGO,2011,661808.4337,AO,6524.481181,21942296,47.018,51.9,Sub-Saharan Africa,Lower middle income
Angola,AGO,2012,687303.9062,AO,6758.27805,22685632,46.499,51.1,Sub-Saharan Africa,Lower middle income
Angola,AGO,2013,714148.2427,AO,7097.840138,23448202,45.985,50.4,Sub-Saharan Africa,Lower middle income
Angola,AGO,2014,741377.4127,AO,7317.834073,24227524,45.483,49.6,Sub-Saharan Africa,Lower middle income
Angola,AGO,2015,770605.7741,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,2016,800517.8038,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,2017,832599.3331,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,1990,1432.003701,AG,11087.01747,61906,18.779,14.7,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1991,1450.764906,AG,11594.57506,62412,18.879,14.1,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1992,1475.748803,AG,11766.78311,63434,19.047,13.5,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1993,1507.187424,AG,12415.41251,64868,19.274,12.9,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1994,1545.640641,AG,13141.20213,66550,19.54,12.3,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1995,1590.012207,AG,12516.60041,68349,19.816,11.7,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1996,1640.551248,AG,13236.87073,70245,20.064,11.2,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1997,1695.276006,AG,13732.76683,72232,20.251,10.7,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1998,1751.987585,AG,14108.11207,74206,20.352,10.3,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,1999,1807.958154,AG,14554.48083,76041,20.351,9.9,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2000,1865.339989,AG,15312.5665,77648,20.24,9.4,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2001,1919.702025,AG,14907.07263,78972,20.022,9,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2002,1970.608292,AG,15372.57819,80030,19.724,8.6,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2003,2017.292666,AG,16426.92431,80904,19.374,8.2,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2004,2059.522733,AG,17593.87624,81718,18.992,7.9,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2005,2099.326984,AG,19067.0683,82565,18.599,7.5,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2006,2132.142179,AG,22040.91366,83467,18.214,7.2,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2007,2159.747492,AG,24503.84487,84397,17.849,6.9,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2008,2184.183638,AG,24723.11189,85350,17.514,6.6,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2009,2207.518009,AG,21671.37575,86300,17.218,6.3,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2010,2233.401941,AG,20151.30987,87233,16.968,6,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2011,2261.742383,AG,19987.92414,88152,16.763,5.8,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2012,2291.340887,AG,20956.33642,89069,16.594,5.5,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2013,2319.952641,AG,21008.14698,89985,16.447,5.3,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2014,2350.94708,AG,22157.58162,90900,16.319,5.1,Latin America & Caribbean,Upper middle income
Antigua and Barbuda,ATG,2015,2381.900165,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,2016,2415.520409,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,2017,2448.101167,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,1990,1084989.063,AR,NA,32729740,21.804,15.4,Latin America & Caribbean,Upper middle income
Argentina,ARG,1991,1102673.643,AR,NA,33193920,21.603,15,Latin America & Caribbean,Upper middle income
Argentina,ARG,1992,1120036.804,AR,NA,33655149,21.366,14.7,Latin America & Caribbean,Upper middle income
Argentina,ARG,1993,1136960.66,AR,NA,34110912,21.097,14.4,Latin America & Caribbean,Upper middle income
Argentina,ARG,1994,1154266.183,AR,NA,34558114,20.804,14,Latin America & Caribbean,Upper middle income
Argentina,ARG,1995,1171495.394,AR,NA,34994818,20.501,13.3,Latin America & Caribbean,Upper middle income
Argentina,ARG,1996,1189348.929,AR,NA,35419683,20.21,12.6,Latin America & Caribbean,Upper middle income
Argentina,ARG,1997,1206652.831,AR,NA,35833965,19.948,12,Latin America & Caribbean,Upper middle income
Argentina,ARG,1998,1222960.212,AR,NA,36241578,19.727,11.5,Latin America & Caribbean,Upper middle income
Argentina,ARG,1999,1239596.566,AR,NA,36648054,19.551,11.3,Latin America & Caribbean,Upper middle income
Argentina,ARG,2000,1255619.035,AR,NA,37057453,19.413,11.3,Latin America & Caribbean,Upper middle income
Argentina,ARG,2001,1271827.92,AR,NA,37471535,19.302,11.1,Latin America & Caribbean,Upper middle income
Argentina,ARG,2002,1288287.185,AR,NA,37889443,19.199,10.6,Latin America & Caribbean,Upper middle income
Argentina,ARG,2003,1304789.281,AR,NA,38309475,19.089,10,Latin America & Caribbean,Upper middle income
Argentina,ARG,2004,1321879.83,AR,NA,38728778,18.968,9.5,Latin America & Caribbean,Upper middle income
Argentina,ARG,2005,1339869.728,AR,NA,39145491,18.833,9.2,Latin America & Caribbean,Upper middle income
Argentina,ARG,2006,1358768.35,AR,NA,39558750,18.691,8.8,Latin America & Caribbean,Upper middle income
Argentina,ARG,2007,1378251.078,AR,NA,39969903,18.55,8.5,Latin America & Caribbean,Upper middle income
Argentina,ARG,2008,1397666.173,AR,NA,40381860,18.414,8.1,Latin America & Caribbean,Upper middle income
Argentina,ARG,2009,1417135.905,AR,NA,40798641,18.283,7.8,Latin America & Caribbean,Upper middle income
Argentina,ARG,2010,1437430.387,AR,NA,41222875,18.153,7.5,Latin America & Caribbean,Upper middle income
Argentina,ARG,2011,1457172.225,AR,NA,41655616,18.018,7.2,Latin America & Caribbean,Upper middle income
Argentina,ARG,2012,1477143.915,AR,NA,42095224,17.874,7,Latin America & Caribbean,Upper middle income
Argentina,ARG,2013,1497554.069,AR,NA,42538304,17.716,6.8,Latin America & Caribbean,Upper middle income
Argentina,ARG,2014,1517813.603,AR,NA,42980026,17.544,6.5,Latin America & Caribbean,Upper middle income
Argentina,ARG,2015,1537719.835,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,2016,1556896.838,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,2017,1576036.409,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,1990,81535.93562,AM,2414.404926,3544695,21.6,23,Europe & Central Asia,Lower middle income
Armenia,ARM,1991,81728.01927,AM,2223.444263,3511912,20.652,22.5,Europe & Central Asia,Lower middle income
Armenia,ARM,1992,81931.8522,AM,1347.491008,3449497,19.546,21.9,Europe & Central Asia,Lower middle income
Armenia,ARM,1993,82104.21291,AM,1287.955107,3369673,18.348,21.2,Europe & Central Asia,Lower middle income
Armenia,ARM,1994,82419.05419,AM,1419.992742,3289943,17.123,20.5,Europe & Central Asia,Lower middle income
Armenia,ARM,1995,82970.87872,AM,1581.73379,3223173,15.962,19.8,Europe & Central Asia,Lower middle income
Armenia,ARM,1996,83720.77931,AM,1731.807416,3173425,14.957,19.1,Europe & Central Asia,Lower middle income
Armenia,ARM,1997,84594.87287,AM,1840.696008,3137652,14.16,18.3,Europe & Central Asia,Lower middle income
Armenia,ARM,1998,85525.1825,AM,2012.338894,3112958,13.6,17.5,Europe & Central Asia,Lower middle income
Armenia,ARM,1999,86632.70958,AM,2123.61324,3093820,13.286,16.7,Europe & Central Asia,Lower middle income
Armenia,ARM,2000,87705.01116,AM,2313.331946,3076098,13.203,15.9,Europe & Central Asia,Lower middle income
Armenia,ARM,2001,88744.39557,AM,2605.771618,3060036,13.306,15.1,Europe & Central Asia,Lower middle income
Armenia,ARM,2002,89613.92569,AM,3007.219393,3047249,13.511,14.4,Europe & Central Asia,Lower middle income
Armenia,ARM,2003,90327.26424,AM,3510.316808,3036420,13.741,13.7,Europe & Central Asia,Lower middle income
Armenia,ARM,2004,90861.74301,AM,3998.143137,3025982,13.949,13,Europe & Central Asia,Lower middle income
Armenia,ARM,2005,91411.10121,AM,4716.243273,3014917,14.097,12.4,Europe & Central Asia,Lower middle income
Armenia,ARM,2006,91867.4995,AM,5526.092806,3002161,14.164,11.8,Europe & Central Asia,Lower middle income
Armenia,ARM,2007,92172.61254,AM,6483.504649,2988117,14.161,11.1,Europe & Central Asia,Lower middle income
Armenia,ARM,2008,92272.03663,AM,7097.912173,2975029,14.101,10.6,Europe & Central Asia,Lower middle income
